product_id,name,category,price,stock,created_at
1,Intuitive multi-state protocol,Toys,237.69,296,2025-01-31
2,Cross-platform motivating adapter,Toys,155.36,209,2025-01-14
3,Quality-focused 3rdgeneration matrices,Home,379.82,272,2024-11-16
4,Enterprise-wide next generation open architecture,Toys,126.36,255,2025-01-07
5,Sharable analyzing standardization,Sports,180.32,372,2025-06-11
6,Reverse-engineered tertiary budgetary management,Books,309.75,158,2024-07-18
7,Synergistic exuding policy,Home,274.2,265,2025-04-05
8,Cloned reciprocal Local Area Network,Books,41.96,352,2025-04-07
9,Open-architected web-enabled encoding,Beauty,377.53,473,2025-03-03
10,Reduced 4thgeneration model,Toys,355.97,75,2024-03-04
11,Cross-platform incremental algorithm,Beauty,268.15,29,2024-08-15
12,Visionary intangible instruction set,Toys,386.49,213,2024-03-10
13,Persistent contextually-based support,Toys,235.61,380,2024-02-10
14,Cloned 24hour array,Home,73.79,199,2024-03-18
15,Reactive impactful challenge,Books,168.76,166,2024-06-05
16,Multi-channeled foreground array,Home,216.27,290,2024-08-24
17,Customizable grid-enabled initiative,Beauty,110.96,117,2025-08-28
18,User-friendly dynamic challenge,Toys,106.22,115,2024-08-09
19,Vision-oriented fresh-thinking capacity,Home,382.15,432,2024-07-02
20,Future-proofed discrete core,Sports,255.29,411,2025-08-27
21,Devolved disintermediate project,Sports,354.05,57,2024-12-20
22,Ameliorated bottom-line neural-net,Toys,168.91,310,2024-06-19
23,Polarized cohesive capacity,Books,391.28,237,2024-10-27
24,Implemented bi-directional database,Books,186.03,188,2024-07-31
25,Streamlined foreground neural-net,Toys,249.2,72,2024-09-26
26,Automated zero tolerance framework,Sports,134.66,172,2024-02-13
27,Implemented needs-based software,Toys,171.07,364,2024-02-09
28,Public-key methodical structure,Books,235.16,350,2023-11-15
29,Versatile tertiary customer loyalty,Books,349.32,169,2024-12-20
30,Open-architected coherent throughput,Sports,462.64,351,2024-12-01
31,Upgradable tertiary artificial intelligence,Books,37.4,2,2024-01-08
32,Pre-emptive stable application,Beauty,450.44,360,2025-03-23
33,Function-based coherent matrices,Books,121.66,41,2024-02-23
34,Business-focused clear-thinking Graphical User Interface,Home,101.85,122,2024-07-17
35,Customer-focused systemic model,Sports,349.05,134,2024-10-02
36,Adaptive client-driven Graphical User Interface,Beauty,243.61,339,2025-08-20
37,Right-sized foreground process improvement,Books,486.15,431,2025-03-21
38,Centralized composite archive,Home,40.07,142,2025-03-08
39,Balanced composite time-frame,Toys,72.2,374,2024-05-06
40,Stand-alone multimedia extranet,Electronics,128.76,253,2024-04-20
41,Assimilated zero-defect data-warehouse,Books,113.25,401,2025-07-16
42,Mandatory value-added architecture,Sports,197.36,435,2025-10-05
43,Down-sized grid-enabled artificial intelligence,Home,115.5,384,2024-04-02
44,Open-architected empowering complexity,Electronics,352.76,296,2024-10-01
45,User-centric impactful frame,Toys,450.96,278,2024-12-12
46,Front-line 4thgeneration challenge,Toys,191.59,368,2024-03-25
47,Organized empowering complexity,Electronics,475.55,60,2023-12-08
48,Reduced global access,Sports,118.63,64,2024-04-03
49,Public-key neutral firmware,Books,472.87,464,2024-02-21
50,Mandatory multi-tasking projection,Electronics,319.32,484,2025-07-16
